Auction Date,Auction Name,Lot Title,Estimate Low,Estimate High,Description,Main Image URL,Artist Name
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Ruby and diamond ring,"30,000","40,000",https://www.phillips.com/detail/CH060424/379,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1729867149/auctions/CH060424/210859_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Pair of sapphire, emerald and diamond earrings","60,000","90,000",https://www.phillips.com/detail/alexander-laut/CH060424/380,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579214/auctions/CH060424/210432_001.jpg,Alexander Laut
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and diamond ring,"50,000","65,000",https://www.phillips.com/detail/CH060424/381,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728659316/auctions/CH060424/206719_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Diamond ring,"110,000","170,000",https://www.phillips.com/detail/CH060424/382,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579178/auctions/CH060424/207292_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and coloured sapphire necklace,"60,000","80,000",https://www.phillips.com/detail/bulgari/CH060424/383,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579216/auctions/CH060424/209870_001.jpg,Bulgari
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Emerald and diamond ring,"85,000","130,000",https://www.phillips.com/detail/CH060424/384,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579199/auctions/CH060424/209694_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Emerald and diamond brooch,"17,000","26,000",https://www.phillips.com/detail/boucheron/CH060424/385,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579225/auctions/CH060424/210921_001.jpg,Boucheron
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Spinel and diamond ring,"170,000","210,000",https://www.phillips.com/detail/cartier/CH060424/386,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1730388276/auctions/CH060424/209999_001.jpg,Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Pair of pearl, diamond and gold brooches, 1930s","50,000","70,000",https://www.phillips.com/detail/cartier/CH060424/387,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1729078120/auctions/CH060424/209872_001.jpg,Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Diamond bracelet, circa 1930","22,000","30,000",https://www.phillips.com/detail/CH060424/388,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579192/auctions/CH060424/208214_001.jpg,N/A
