Auction Date,Auction Name,Lot Title,Estimate Low,Estimate High,Description,Main Image URL,Artist Name
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",27: Travis scott - T-Shirt,180,200,https://www.tgpauction.com/auction-lot/travis-scott-t-shirt_fb04ab983d,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901834.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",28: NIke - Sacai x KAWS,400,450,https://www.tgpauction.com/auction-lot/nike-sacai-x-kaws_cfb4657886,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901849.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",29: Converse - Andy Warhol,220,250,https://www.tgpauction.com/auction-lot/converse-andy-warhol_8ff4d51aff,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901840.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",30: Jean Michel Basquiat - T-Shirt,180,220,https://www.tgpauction.com/auction-lot/jean-michel-basquiat-t-shirt_fac4bab9cb,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901844.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",31: Kaws + Warhol - Uniqlo,150,200,https://www.tgpauction.com/auction-lot/kaws-warhol-uniqlo_4c648699a7,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901843.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",33: Pokemon - Uniqlo,150,180,https://www.tgpauction.com/auction-lot/pokemon-uniqlo_6704f6fada,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901841.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",34: Travis Scott Utopia Box Set,350,450,https://www.tgpauction.com/auction-lot/travis-scott-utopia-box-set_49c4190a91,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901850.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",35: Kaws - Uniqlo,150,200,https://www.tgpauction.com/auction-lot/kaws-uniqlo_63840fabd6,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901868.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",36: Kaws + Warhol - Uniqlo,150,200,https://www.tgpauction.com/auction-lot/kaws-warhol-uniqlo_75149b1af1,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901857.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",38: Nike - Air Jordan 1,550,600,https://www.tgpauction.com/auction-lot/nike-air-jordan-1_36d4afc99c,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901858.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",39: Nike - Air Jordan 1,400,500,https://www.tgpauction.com/auction-lot/nike-air-jordan-1_973454280f,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901873.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",40: Nike - Air Jordan 1,500,550,https://www.tgpauction.com/auction-lot/nike-air-jordan-1_56f470e9b2,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901866.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",41: Murakami X Doraemon - T-Shirt,220,250,https://www.tgpauction.com/auction-lot/murakami-x-doraemon-t-shirt_88c4141878,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901863.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",42: Kaws + Warhol - Uniqlo,180,220,https://www.tgpauction.com/auction-lot/kaws-warhol-uniqlo_7154c3791c,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901865.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",43: Kaws + Warhol - Uniqlo,450,500,https://www.tgpauction.com/auction-lot/kaws-warhol-uniqlo_45644beb58,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901874.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",44: Kaws + Warhol - Uniqlo,300,350,https://www.tgpauction.com/auction-lot/kaws-warhol-uniqlo_56442e0842,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901854.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",45: Kaws + Warhol - Uniqlo,280,320,https://www.tgpauction.com/auction-lot/kaws-warhol-uniqlo_12b41658dd,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901876.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",46: Luis de Guzman X Bape,280,320,https://www.tgpauction.com/auction-lot/luis-de-guzman-x-bape_c994b4c8de,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901882.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",47: Luis de Guzman X Bape,280,320,https://www.tgpauction.com/auction-lot/luis-de-guzman-x-bape_162431da39,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901883.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",48: Luis de Guzman - Complexcon,200,250,https://www.tgpauction.com/auction-lot/luis-de-guzman-complexcon_a2b43e9a66,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901878.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",49: Luis de Guzman - Complexcon,200,250,https://www.tgpauction.com/auction-lot/luis-de-guzman-complexcon_de548fb84e,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901877.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport",50: Luis de Guzman - Along the way,300,400,https://www.tgpauction.com/auction-lot/luis-de-guzman-along-the-way_0b94ca9920,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901891.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","51: Pellarose - Heart of Gold (Kate Moss), 2024",290,320,https://www.tgpauction.com/auction-lot/pellarose-heart-of-gold-kate-moss-2024_124424aa3b,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901889.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","52: Pellarose - Out of your League (Greta Thunberg), 2024",290,320,https://www.tgpauction.com/auction-lot/pellarose-out-of-your-league-greta-thunberg-2024_430461a9a2,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901886.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","53: Pellarose - Me Young with Filters (Cillian Murphy), 2024",290,320,https://www.tgpauction.com/auction-lot/pellarose-me-young-with-filters-cillian-murphy-20_90543b7bfd,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901885.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","54: Pellarose - Carlito (Karl Lagerfeld), 2024",290,320,https://www.tgpauction.com/auction-lot/pellarose-carlito-karl-lagerfeld-2024_8e84991921,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901892.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","55: Pellarose - Funny Bone (Maggie Smith), 2024",290,320,https://www.tgpauction.com/auction-lot/pellarose-funny-bone-maggie-smith-2024_e484678880,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901894.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","56: Kenny Scharf - Flores Yellow, 2020","7,500","8,000",https://www.tgpauction.com/auction-lot/kenny-scharf-flores-yellow-2020_e7940b3ad3,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901893.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","57: Daniel Arsham - Eroded Brillo Box (White), 2020","5,500","5,700",https://www.tgpauction.com/auction-lot/daniel-arsham-eroded-brillo-box-white-2020_5ae48a1820,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901884.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","58: Jim Dine - Fo Dog in Hell, 1990","7,500","8,000",https://www.tgpauction.com/auction-lot/jim-dine-fo-dog-in-hell-1990_e064cefba6,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901917.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","59: Takashi Murakami - Mr DOBtopus B, 2017","4,200","4,400",https://www.tgpauction.com/auction-lot/takashi-murakami-mr-dobtopus-b-2017_b524415809,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901896.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","60: Mr. Brainwash - Je T'aime (Red Splash), 2018","2,800","3,000",https://www.tgpauction.com/auction-lot/mr-brainwash-je-taime-red-splash-2018_a264470b43,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901915.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","61: KAWS - Holiday Changbai Mountain Snow Globe, 2022","2,400","2,600",https://www.tgpauction.com/auction-lot/kaws-holiday-changbai-mountain-snow-globe-2022_c5346ec800,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901910.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","62: André Saraiva - Mr. A Ball (Pink), 2018",750,800,https://www.tgpauction.com/auction-lot/andre-saraiva-mr-a-ball-pink-2018_0d84c1e992,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901900.jpg
"November 7, 2024 6:00 PM GMT+1","Street & Pop, Wine & Sport","63: André Saraiva - Mr. A Ball (Black), 2018",750,800,https://www.tgpauction.com/auction-lot/andre-saraiva-mr-a-ball-black-2018_c184fe39a6,https://image.invaluable.com/housePhotos/tgpauction/12/781612/H22433-L387901911.jpg
